matrix_size,exponent,field_size,computation_time_ns
160,1000000,1048576,8598395200
160,1000000,1048576,8594013100
160,1000000,1048576,8886916700
160,1000000,1048576,8974140400
160,1000000,1048576,8630367900
160,1000000,1048576,8668312600
160,1000000,1048576,8639411100
160,1000000,1048576,8662449500
160,1000000,1048576,8666439400
160,1000000,1048576,8635822400
160,1000000,1048576,8686062200
160,1000000,1048576,8629183500
160,1000000,1048576,8679839100
160,1000000,1048576,8656752500
160,1000000,1048576,8688966500
160,1000000,1048576,8652859900
160,1000000,1048576,8630801400
160,1000000,1048576,8655754300
160,1000000,1048576,8631582300
160,1000000,1048576,8688952400
160,1000000,1048576,8625024200
160,1000000,1048576,8655035100
160,1000000,1048576,8639569300
160,1000000,1048576,8718427200
160,1000000,1048576,8674477100
160,1000000,1048576,8630081200
160,1000000,1048576,8697856200
160,1000000,1048576,8643756200
160,1000000,1048576,8677219200
160,1000000,1048576,8641305200
160,1000000,1048576,8659617000
160,1000000,1048576,8643603400
160,1000000,1048576,8574287500
160,1000000,1048576,8623351900
160,1000000,1048576,8579899400
160,1000000,1048576,8641224500
160,1000000,1048576,8613914500
160,1000000,1048576,8610299900
160,1000000,1048576,8611696300
160,1000000,1048576,8619510400
160,1000000,1048576,8593118800
160,1000000,1048576,8633710200
160,1000000,1048576,8632298600
160,1000000,1048576,8615785500
160,1000000,1048576,8668683100
160,1000000,1048576,8674909600
160,1000000,1048576,8670199000
160,1000000,1048576,8642727800
160,1000000,1048576,8684340800
160,1000000,1048576,8631269300
160,1000000,1048576,8604651400
160,1000000,1048576,8629927300
160,1000000,1048576,8598001600
160,1000000,1048576,8693941400
160,1000000,1048576,8643986900
160,1000000,1048576,8681955300
160,1000000,1048576,8668714700
160,1000000,1048576,8658254000
160,1000000,1048576,8680922800
160,1000000,1048576,8611916600
160,1000000,1048576,8669818400
160,1000000,1048576,8655075400
160,1000000,1048576,8703424800
160,1000000,1048576,8640871900
160,1000000,1048576,8675164300
160,1000000,1048576,8642709300
160,1000000,1048576,8611515600
160,1000000,1048576,8685310300
160,1000000,1048576,8606672200
160,1000000,1048576,8672678200
160,1000000,1048576,8645936400
160,1000000,1048576,8622355300
160,1000000,1048576,8614381400
160,1000000,1048576,8665737700
160,1000000,1048576,8649484500
160,1000000,1048576,8635926300
160,1000000,1048576,8675161900
160,1000000,1048576,8629255300
160,1000000,1048576,8654033600
160,1000000,1048576,8623030100
160,1000000,1048576,8657283100
160,1000000,1048576,8611434200
160,1000000,1048576,8647911100
160,1000000,1048576,8671975300
160,1000000,1048576,8646673500
160,1000000,1048576,8636318000
160,1000000,1048576,8631585100
160,1000000,1048576,8647248600
160,1000000,1048576,8637157000
160,1000000,1048576,8654139900
160,1000000,1048576,8709326700
160,1000000,1048576,8676254300
160,1000000,1048576,8727157900
160,1000000,1048576,8642383100
160,1000000,1048576,8712189300
160,1000000,1048576,8655658500
160,1000000,1048576,8661042600
160,1000000,1048576,8651921600
160,1000000,1048576,8686044500
160,1000000,1048576,8659983200
160,1000000,1048576,8625876000
160,1000000,1048576,8643582900
160,1000000,1048576,8641007200
160,1000000,1048576,8680051500
160,1000000,1048576,8654676200
160,1000000,1048576,8653627000
160,1000000,1048576,8677229500
160,1000000,1048576,8639391800
160,1000000,1048576,8680067800
160,1000000,1048576,8630023600
160,1000000,1048576,8713488700
160,1000000,1048576,8635791000
160,1000000,1048576,8661690500
160,1000000,1048576,8661430700
160,1000000,1048576,8666748800
160,1000000,1048576,8648530600
160,1000000,1048576,8659416200
160,1000000,1048576,8697349600
160,1000000,1048576,8649347900
160,1000000,1048576,8675328100
160,1000000,1048576,8661627300
