matrix_size,exponent,field_size,computation_time_ns
224,1000000,1048576,23634853200
319,1000000,1048576,69629460900
267,1000000,1048576,41438337700
94,1000000,1048576,1745386000
221,1000000,1048576,23063830500
128,1000000,1048576,4491423000
176,1000000,1048576,11585454300
206,1000000,1048576,18493257400
157,1000000,1048576,8131840100
210,1000000,1048576,19623846600
217,1000000,1048576,21628086700
133,1000000,1048576,4954408100
264,1000000,1048576,39232660500
43,1000000,1048576,157151400
36,1000000,1048576,89691900
97,1000000,1048576,1925248400
116,1000000,1048576,3280770400
276,1000000,1048576,44563564400
27,1000000,1048576,38533100
151,1000000,1048576,7208050800
34,1000000,1048576,73040300
239,1000000,1048576,28879427100
184,1000000,1048576,13141343200
99,1000000,1048576,2044316000
159,1000000,1048576,8479451300
16,1000000,1048576,7957600
279,1000000,1048576,45985372000
241,1000000,1048576,29613896600
299,1000000,1048576,56597933900
308,1000000,1048576,61932227500
81,1000000,1048576,1096916300
91,1000000,1048576,1568116800
313,1000000,1048576,64839013000
108,1000000,1048576,2628750600
49,1000000,1048576,236817200
187,1000000,1048576,13825730800
238,1000000,1048576,28446388600
135,1000000,1048576,5163779700
203,1000000,1048576,17641382800
319,1000000,1048576,68572009200
108,1000000,1048576,2624815400
316,1000000,1048576,66732526700
127,1000000,1048576,4300275000
296,1000000,1048576,54856904800
232,1000000,1048576,26332020400
111,1000000,1048576,2857840600
180,1000000,1048576,12304287000
317,1000000,1048576,67337317300
196,1000000,1048576,15871559200
238,1000000,1048576,28432681100
49,1000000,1048576,237196900
106,1000000,1048576,2500908000
70,1000000,1048576,713673200
168,1000000,1048576,9977806900
110,1000000,1048576,2765747600
74,1000000,1048576,835242200
187,1000000,1048576,13796626100
270,1000000,1048576,41506263600
270,1000000,1048576,41530598400
87,1000000,1048576,1371644800
60,1000000,1048576,440500900
242,1000000,1048576,29988868100
211,1000000,1048576,19798733600
286,1000000,1048576,49451335500
12,1000000,1048576,3342400
264,1000000,1048576,38839595300
267,1000000,1048576,40174672900
151,1000000,1048576,7262659700
75,1000000,1048576,867003300
235,1000000,1048576,27334931900
97,1000000,1048576,1902665800
37,1000000,1048576,95473900
312,1000000,1048576,64281791600
230,1000000,1048576,25710515800
26,1000000,1048576,33654600
60,1000000,1048576,441319000
144,1000000,1048576,6248140400
269,1000000,1048576,41105289900
306,1000000,1048576,60549928500
262,1000000,1048576,38003367000
263,1000000,1048576,38434361500
188,1000000,1048576,14006602800
72,1000000,1048576,780136300
109,1000000,1048576,2688711200
116,1000000,1048576,3254882300
110,1000000,1048576,2780146200
