matrix_size,exponent,field_size,computation_time_ns
64,9963774,1048576,699510500
64,1374028,1048576,656077300
64,9816836,1048576,675984200
64,5945677,1048576,717129000
64,5811109,1048576,707357100
64,1231979,1048576,639766500
64,6061407,1048576,786175200
64,6194791,1048576,723379300
64,4641975,1048576,727977900
64,6117235,1048576,762491900
64,7853852,1048576,765998700
64,2922926,1048576,679339300
64,8487675,1048576,694831900
64,3619934,1048576,722163000
64,1332258,1048576,561917900
64,7135471,1048576,741511100
64,3912666,1048576,750760000
64,9440044,1048576,644665000
64,3659903,1048576,763454700
64,6637436,1048576,721645900
64,3271137,1048576,720863300
64,7814878,1048576,803725700
64,2967776,1048576,619321500
64,5686376,1048576,658559800
64,8405572,1048576,574324400
64,9436797,1048576,849124400
64,5643803,1048576,701225900
64,8199373,1048576,746518900
64,4434391,1048576,719852900
64,9030994,1048576,704585800
64,4726759,1048576,719547000
64,8369416,1048576,717993900
64,3275413,1048576,701419300
64,5306093,1048576,742691200
64,3372576,1048576,639008500
64,1431802,1048576,682575400
64,2180891,1048576,637474100
64,7528929,1048576,694002200
64,3213318,1048576,553555600
64,7557063,1048576,754742000
64,3161003,1048576,674512500
64,5616388,1048576,655885800
64,3827069,1048576,721840100
64,6056729,1048576,700764500
64,8468524,1048576,646150800
64,1084721,1048576,582119800
64,5436364,1048576,723279600
64,2770204,1048576,624697900
64,5153895,1048576,703666900
64,3573384,1048576,624559800
64,8362336,1048576,718997400
64,1412864,1048576,572239400
64,4097674,1048576,660745800
64,9577834,1048576,673438600
64,8712392,1048576,657613000
64,2271100,1048576,679409300
64,2258471,1048576,656868800
64,6486144,1048576,638776000
64,4366905,1048576,635269300
64,2291464,1048576,635428400
64,8228723,1048576,776605800
64,3871795,1048576,656923700
64,4319626,1048576,655350900
64,9094113,1048576,697048600
64,6016393,1048576,720520400
64,5957875,1048576,737772100
64,3301238,1048576,719305700
64,4856775,1048576,696611200
64,5169575,1048576,724154200
64,8034419,1048576,720494800
64,9615135,1048576,759397900
64,6807424,1048576,725583400
64,1995566,1048576,681481400
64,7131177,1048576,666273600
64,9453576,1048576,556984800
64,3529428,1048576,705871300
64,3662372,1048576,661593400
64,6600528,1048576,680496400
64,2019096,1048576,659641400
64,4313744,1048576,612301900
64,1988787,1048576,655803900
64,4074728,1048576,683716600
64,5195995,1048576,725195700
64,7521094,1048576,676699100
64,9521897,1048576,698873600
64,7417906,1048576,635702800
64,8275331,1048576,698398500
64,7003977,1048576,736419000
64,1544504,1048576,614605100
64,3730423,1048576,764644900
64,3550561,1048576,662864300
64,3034803,1048576,700755400
64,9011638,1048576,679925000
64,4614144,1048576,574210400
64,5050863,1048576,715779100
64,4942882,1048576,658032100
64,9522716,1048576,674561900
64,8531677,1048576,713036800
64,1834247,1048576,697429100
64,7603508,1048576,632762500
